"TIME","U1(RB0/AN4/INT0)"
0,"FLT"
0.02184782661,"SHI"
0.03186182661,"SLO"
0.05189082661,"SHI"
0.06190532661,"SLO"
0.08193432661,"SHI"
0.09194882661,"SLO"
0.1119778266,"SHI"
0.1219923266,"SLO"
0.1420213266,"SHI"
0.1520358266,"SLO"
0.1720648266,"SHI"
0.1820793266,"SLO"
0.2021083266,"SHI"
0.2121228266,"SLO"
0.2321518266,"SHI"
0.2421663266,"SLO"
0.2621953266,"SHI"
0.2722098266,"SLO"
0.2922388266,"SHI"
0.3022533266,"SLO"
0.3222823266,"SHI"
0.3322968266,"SLO"
0.3523258266,"SHI"
0.3623403266,"SLO"
0.3823693266,"SHI"
0.3923838266,"SLO"
0.4124128266,"SHI"
0.4224273266,"SLO"
0.4424563266,"SHI"
0.4524708266,"SLO"
0.4724998266,"SHI"
0.4825143266,"SLO"
0.5025433266,"SHI"
0.5125578266,"SLO"
0.5325868266,"SHI"
0.5426013266,"SLO"
0.5626303266,"SHI"
0.5726448266,"SLO"
0.5926738266,"SHI"
0.6026883266,"SLO"
0.6227173266,"SHI"
0.6327318266,"SLO"
0.6527608266,"SHI"
0.6627753266,"SLO"
0.6828043266,"SHI"
0.6928188266,"SLO"
0.7128478266,"SHI"
0.7228623266,"SLO"
0.7428913266,"SHI"
0.7529058266,"SLO"
0.7729348266,"SHI"
0.7829493266,"SLO"
0.8029783266,"SHI"
0.8129928266,"SLO"
0.8330218266,"SHI"
0.8430363266,"SLO"
0.8630653266,"SHI"
0.8730798266,"SLO"
0.8931088266,"SHI"
0.9031233266,"SLO"
0.9231523266,"SHI"
0.9331668266,"SLO"
0.9531958266,"SHI"
0.9632103266,"SLO"
0.9832393266,"SHI"
0.9932538266,"SLO"
1,"SLO"
